date,location,brand,name,SKU,price,discount,PWD
2025-09-30 11:33:58,Coto,MILKA,Alfajor Triple MILKA Oreo 61g,7622300835620,"$1.974,00",80% 2da,"$1.184,40"
2025-09-30 11:34:01,Coto,OREO,Alfajor OREO Triple 56g,77976307,"$1.752,00",3x2,"$1.168,06"
2025-09-30 11:34:21,Jumbo,MILKA,Alfajor Oreo Triple 56 Gr Milka,11849101005,$1.900,2do al 80%,$1.140
2025-10-02 16:56:55,Coto,DOWNY,Aromatizante Para Ropa April Fresh Downy 345g,30772097953,"$38.776,99",40%Dto,"$23.266,19"
2025-10-02 16:56:58,Coto,DOWNY,Aromatizante Para Ropa Fresh Downy 141g,30772087251,"$18.208,99",40%Dto,"$10.925,39"
2025-10-02 16:57:01,Coto,DOWNY,Aromatizante Para Ropa Fresh Downy 345g,30772095713,"$38.776,99",40%Dto,"$23.266,19"
2025-10-02 16:57:03,Coto,DOWNY,Aromatizante Para Ropa Lush Downy 141g,30772087343,"$18.208,99",40%Dto,"$10.925,39"
2025-10-02 16:57:06,Coto,DOWNY,Aromatizante Para Ropa Lush Downy 345g,30772095720,"$38.776,99",40%Dto,"$23.266,19"
2025-10-02 16:57:09,Coto,DOWNY,Enjuague Concentrado Adorable Downy 900ml,7500435160070,"$13.098,99",40%Dto,"$7.859,39"
2025-10-02 16:57:12,Coto,DOWNY,Enjuague Concentrado Downy 450ml,7500435159999,"$7.637,99",40%Dto,"$4.582,79"
2025-10-02 16:57:15,Coto,DOWNY,Enjuague Concentrado Místico Downy 450ml,7500435160087,"$7.637,99",40%Dto,"$4.582,79"
2025-10-02 16:57:18,Coto,DOWNY,Enjuague Concentrado Místico Downy 900ml,7500435160001,"$13.098,99",40%Dto,"$7.859,39"
2025-10-02 16:57:20,Coto,DOWNY,Enjuague Concentrado Perfume Brisa Suave Downy 1l,7500435243650,"$13.098,99",40%Dto,"$7.859,39"
2025-10-02 16:57:23,Coto,DOWNY,Enjuague Concentrado Perfume Brisa Suave Downy 500ml,7500435243612,"$7.637,99",40%Dto,"$4.582,79"
