date,location,brand,name,SKU,price,discount,PWD
2025-10-02 17:50:24,Coto,HEAD & SHOULDERS,HEAD & SHOULDERS Manzana Fresh Shampoo Control Caspa 375 Ml,7500435019880,"$10.197,00",35%Dto,"$6.628,05"
2025-10-02 17:50:25,Coto,HEAD & SHOULDERS,HEAD & SHOULDERS Men 3 En 1 Shampoo Control Caspa 180 Ml,7500435019484,"$6.074,00",35%Dto,"$3.948,10"
2025-10-02 17:50:26,Coto,HEAD & SHOULDERS,Shampoo HEAD & SHOULDERS     Botella 375 ML,7500435019545,"$10.197,00",35%Dto,"$6.628,05"
2025-10-02 17:50:27,Coto,HEAD & SHOULDERS,Shampoo Manzana Fresh Head&Shoulders 180ml,7500435019873,"$6.074,00",35%Dto,"$3.948,10"
2025-10-02 17:50:28,Coto,HEAD & SHOULDERS,Shampoo Old Spice Head&Shoulders 180ml,7500435019521,"$6.074,00",35%Dto,"$3.948,10"
2025-10-02 17:50:29,Coto,HEAD & SHOULDERS,Shampoo 3 En 1 Head&Shoulders 375ml,7500435019491,"$10.197,00",35%Dto,"$6.628,05"
2025-10-02 17:50:30,Coto,HEAD & SHOULDERS,HEAD & SHOULDERS Acondicionador Control Caspa  Crece Fuerte Desde La Raíz  300ml,7500435159234,"$9.383,00",35%Dto,"$6.098,95"
2025-10-02 17:50:31,Coto,HEAD & SHOULDERS,HEAD & SHOULDERS Hidratación Aceite De Coco Acondicionador Control Caspa 300 Ml,7500435147583,"$9.383,00",35%Dto,"$6.098,95"
2025-10-02 17:50:32,Coto,HEAD & SHOULDERS,HEAD & SHOULDERS Manzana Fresh Acondicionador 300 Ml,7500435147569,"$9.383,00",35%Dto,"$6.098,95"
2025-10-02 17:50:33,Coto,HEAD & SHOULDERS,HEAD & SHOULDERS Revitalización Y Suavidad Aceite De Argán Dermo - Acondicionador 300 Ml,7500435202732,"$9.383,00",35%Dto,"$6.098,95"
2025-10-02 17:50:34,Coto,HEAD & SHOULDERS,HEAD & SHOULDERS Crece Fuerte Desde La Raíz Shampoo Control Caspa 180 Ml,7500435159241,"$6.074,00",35%Dto,"$3.948,10"
2025-10-02 17:50:35,Coto,HEAD & SHOULDERS,HEAD & SHOULDERS Crece Fuerte Desde La Raíz Shampoo Control Caspa 375 Ml,7500435159210,"$10.197,00",35%Dto,"$6.628,05"
2025-10-02 17:50:36,Coto,HEAD & SHOULDERS,HEAD & SHOULDERS Dermo Sensitive Shampoo Control Caspa 180 Ml,7500435148047,"$6.074,00",35%Dto,"$3.948,10"
2025-10-02 17:50:37,Coto,HEAD & SHOULDERS,HEAD & SHOULDERS Dermo Sensitive Shampoo Control Caspa 375 Ml,7500435148061,"$10.197,00",35%Dto,"$6.628,05"
2025-10-02 17:50:38,Coto,HEAD & SHOULDERS,HEAD & SHOULDERS Hidratación Shampoo Control Caspa 180 Ml,7500435142564,"$6.074,00",35%Dto,"$3.948,10"
2025-10-02 17:50:39,Coto,HEAD & SHOULDERS,HEAD & SHOULDERS Hidratación Shampoo Control Caspa 375 Ml,7500435142557,"$10.197,00",35%Dto,"$6.628,05"
2025-10-02 17:50:40,Coto,HEAD & SHOULDERS,HEAD & SHOULDERS Limpieza Y Revitalización Shampoo Control Caspa 180 Ml,7500435202671,"$6.074,00",35%Dto,"$3.948,10"
2025-10-02 17:50:51,Coto,HEAD & SHOULDERS,Shampoo Anti Comezón Head & Shoulders 180ml,7500435231244,"$6.074,00",35%Dto,"$3.948,10"
2025-10-02 17:50:52,Coto,HEAD & SHOULDERS,Shampoo Anti Comezón Head & Shoulders 375ml,7500435231237,"$10.197,00",35%Dto,"$6.628,05"
2025-10-02 17:50:53,Coto,HEAD & SHOULDERS,Shampoo Anti Comezón Head & Shoulders 650ml,7500435231268,"$15.774,00",35%Dto,"$10.253,10"
2025-10-02 17:50:54,Coto,HEAD & SHOULDERS,Shampoo Anti Resequedad Miel Head & Shoulders 180ml,7500435249355,"$6.074,00",35%Dto,"$3.948,10"
2025-10-02 17:50:55,Coto,HEAD & SHOULDERS,Shampoo Anti Resequedad Miel Head & Shoulders 375ml,7500435249348,"$10.197,00",35%Dto,"$6.628,05"
2025-10-02 17:51:00,Coto,HEAD & SHOULDERS,Shampoo Anti Resequedad Miel Head & Shoulders 650ml,7500435249331,"$15.774,00",35%Dto,"$10.253,10"
2025-10-02 17:51:01,Coto,HEAD & SHOULDERS,Shampoo Crecimiento Fuerte Desde La Raiz Head And Shoulders 650ml,7500435176224,"$15.774,00",35%Dto,"$10.253,10"
2025-10-02 17:51:02,Coto,HEAD & SHOULDERS,Shampoo Dermo Sensitive Head And Shoulders 650ml,7500435189545,"$15.774,00",35%Dto,"$10.253,10"
2025-10-02 17:51:04,Coto,HEAD & SHOULDERS,Shampoo H&S Limpieza Y Revitalización 375 Ml,7500435202695,"$10.197,00",35%Dto,"$6.628,05"
2025-10-02 17:51:05,Coto,HEAD & SHOULDERS,Shampoo Hidratacion Head And Shoulders 650ml,7500435161602,"$15.774,00",35%Dto,"$10.253,10"
2025-10-02 17:51:06,Coto,HEAD & SHOULDERS,Shampoo Limpieza Y Revitalizacion Head And Shoulders 650ml,7500435202701,"$15.774,00",35%Dto,"$10.253,10"
2025-10-02 17:51:07,Coto,HEAD & SHOULDERS,Shampoo Manzana Fresh Head And Shoulders 650ml,7500435162135,"$15.774,00",35%Dto,"$10.253,10"
2025-10-02 17:51:08,Coto,HEAD & SHOULDERS,Shampoo Men 3en1 Head And Shoulders 650ml,7500435162913,"$15.774,00",35%Dto,"$10.253,10"
2025-10-02 17:51:09,Coto,HEAD & SHOULDERS,Shampoo Men Con Old Spice Head And Shoulders 650ml,7500435166249,"$15.774,00",35%Dto,"$10.253,10"
2025-10-02 17:51:10,Coto,HEAD & SHOULDERS,Shampoo Proteccion Caida Con Cafeina Head And Shoulders 650ml,7500435162586,"$15.774,00",35%Dto,"$10.253,10"
2025-10-02 17:51:11,Coto,HEAD & SHOULDERS,Shampoo Purificacion Capilar Head And Shoulders 650ml,7500435161596,"$15.774,00",35%Dto,"$10.253,10"
2025-10-02 17:50:24,Coto,PANTENE,Acondicionador PANTENE Restauración Pomada 170 ML,7500435106382,"$8.122,00",40%Dto,"$4.873,20"
2025-10-02 17:50:25,Coto,PANTENE,Crema Para Peinar PANTENE Restauración   Botella 300 Ml,7506309837246,"$7.489,00",40%Dto,"$4.493,40"
2025-10-02 17:50:26,Coto,PANTENE,Tratamiento Capilar PANTENE Restauración   Ampolla 15 Ml,7506195196694,"$6.300,00",40%Dto,"$3.780,00"
2025-10-02 17:50:27,Coto,PANTENE,Acondicionador Cabellos Frágiles Pantene 250ml,7500435247955,"$7.829,00",40%Dto,"$4.697,40"
2025-10-02 17:50:28,Coto,PANTENE,Acondicionador Cabellos Frágiles Pantene 510ml,7500435248044,"$12.527,00",40%Dto,"$7.516,20"
2025-10-02 17:50:29,Coto,PANTENE,Acondicionador Equilibrio Raíz Y Puntas PANTENE 200ml,7500435230001,"$5.328,00",40%Dto,"$3.196,80"
2025-10-02 17:50:30,Coto,PANTENE,Acondicionador Hidrata Y Fortalece Pantene 200ml,7500435230070,"$5.328,00",40%Dto,"$3.196,80"
2025-10-02 17:50:31,Coto,PANTENE,Acondicionador Hidrata Y Fortalece PANTENE 400ml,7500435230117,"$8.587,00",40%Dto,"$5.152,20"
2025-10-02 17:50:32,Coto,PANTENE,Acondicionador Keratina Pantene 250ml,7500435241106,"$7.829,00",40%Dto,"$4.697,40"
2025-10-02 17:50:33,Coto,PANTENE,Acondicionador Keratina Pantene 510ml,7500435241045,"$12.527,00",40%Dto,"$7.516,20"
2025-10-02 17:50:34,Coto,PANTENE,Acondicionador PANTENE Keratina 200 Ml,7500435241090,"$5.328,00",40%Dto,"$3.196,80"
2025-10-02 17:50:35,Coto,PANTENE,Acondicionador PANTENE Nutrición 170 Ml,7500435243698,"$8.122,00",40%Dto,"$4.873,20"
2025-10-02 17:50:36,Coto,PANTENE,Acondicionador PANTENE Pro-V Miracles  Detox Limpia - Purifica 200 Ml,7500435229852,"$5.328,00",40%Dto,"$3.196,80"
2025-10-02 17:50:37,Coto,PANTENE,Acondicionador Pro Colágeno PANTENE 200 Ml,7500435138222,"$5.328,00",40%Dto,"$3.196,80"
2025-10-02 17:50:38,Coto,PANTENE,Acondicionador Pro Colágeno Pantene 250ml,7500435191586,"$7.829,00",40%Dto,"$4.697,40"
2025-10-02 17:50:39,Coto,PANTENE,Acondicionador Pro-V Colágeno Pantene 510ml,7500435191494,"$12.527,00",40%Dto,"$7.516,20"
2025-10-02 17:50:40,Coto,PANTENE,Acondicionador Restauración PANTENE 400 Ml,7500435211857,"$7.506,00",40%Dto,"$4.503,60"
