date,location,brand,name,SKU,price,discount,PWD
2025-10-02 17:51:26,Jumbo,HEAD & SHOULDERS,Shampoo Anticomezón 375 Ml Head & Shoulders,13710104188,$10.750,,
2025-10-02 17:51:34,Jumbo,HEAD & SHOULDERS,Shampoo 3 En 1 650 Ml Head & Shoulders,13710104180,$16.600,,
2025-10-02 17:51:43,Jumbo,HEAD & SHOULDERS,Shampoo Apple 375 Ml Head & Shoulders,13710104155,$10.750,,
2025-10-02 17:51:52,Jumbo,HEAD & SHOULDERS,Shampoo Antifall 650 Ml Head & Shoulders,13710104178,$16.600,,
2025-10-02 17:52:00,Jumbo,HEAD & SHOULDERS,Shampoo 3 En 1 180 Ml Head & Shoulders,13710104159,$6.400,,
2025-10-02 17:52:09,Jumbo,HEAD & SHOULDERS,Shampoo Argan 650 Ml Head & Shoulders,13710104185,$16.600,,
2025-10-02 17:52:17,Jumbo,HEAD & SHOULDERS,Shampoo Fuerza 650 Ml Head & Shoulders,13710104182,$16.600,,
2025-10-02 17:52:26,Jumbo,HEAD & SHOULDERS,Shampoo Coconut 375 Ml Head & Shoulders,13710210002,$10.750,,
2025-10-02 17:52:35,Jumbo,HEAD & SHOULDERS,Shampoo Anticomezón 180 Ml Head & Shoulders,13710104187,$6.400,,
2025-10-02 17:52:43,Jumbo,HEAD & SHOULDERS,Shampoo Sensitive 180 Ml Head & Shoulders,13710171002,$6.400,,
2025-10-02 17:52:52,Jumbo,HEAD & SHOULDERS,Acondicionador Dermo Protección Caída 300 Ml Head & Shoulders,13720181019,$9.900,,
2025-10-02 17:53:00,Jumbo,HEAD & SHOULDERS,Shampoo Coconut 180 Ml Head & Shoulders,13710210003,$6.400,,
2025-10-02 17:53:09,Jumbo,HEAD & SHOULDERS,Shampoo Aceite De Argán Shampoo 180 Ml Head & Shoulders,13710387001,$6.400,,
2025-10-02 17:53:18,Jumbo,HEAD & SHOULDERS,Acondicionador Manzana Fresh 300 Ml Head & Shoulders,13720181023,$9.900,,
2025-10-02 17:53:26,Jumbo,HEAD & SHOULDERS,Acondicionador Crece Fuerte 300 Ml Head & Shoulders,13720730001,$9.900,,
2025-10-02 17:53:35,Jumbo,HEAD & SHOULDERS,Acondicionador Hidratación Aceite De Coco 300 Ml Head & Shoulders,13720712001,$9.900,,
2025-10-02 17:53:43,Jumbo,HEAD & SHOULDERS,Shampoo Apple 180 Ml Head & Shoulders,13710104156,$6.400,,
2025-10-02 17:53:52,Jumbo,HEAD & SHOULDERS,Shampoo Charcoal 650 Ml Head & Shoulders,13710104181,$16.600,,
2025-10-02 17:54:01,Jumbo,HEAD & SHOULDERS,Shampoo Sensitive 375 Ml Head & Shoulders,13710171003,$10.750,,
2025-10-02 17:54:09,Jumbo,HEAD & SHOULDERS,Shampoo Old Spice 180 Ml Head & Shoulders,13710104157,$6.400,,
2025-10-02 17:54:22,Jumbo,HEAD & SHOULDERS,Shampoo Charcoal 180 Ml Head & Shoulders,13710104174,$6.400,,
2025-10-02 17:54:31,Jumbo,HEAD & SHOULDERS,Shampoo Nuhoney 180 Ml Head & Shoulders,13710104190,$6.400,,
2025-10-02 17:54:40,Jumbo,HEAD & SHOULDERS,Shampoo Sensitive 650 Ml Head & Shoulders,13710104179,$16.600,,
2025-10-02 17:54:48,Jumbo,HEAD & SHOULDERS,Acondicionador Revitalización 300 Ml  Head & Shoulders,13720879002,$9.900,,
