date,location,brand,name,SKU,price,discount,PWD
2025-09-19 11:31:28,Coto,MILKA,Alfajor Triple MILKA Oreo 61g,7622300835620,N/A,N/A,N/A
2025-09-19 11:31:29,Coto,OREO,Alfajor OREO Triple 56g,77976307,N/A,N/A,N/A
2025-09-19 11:31:38,Jumbo,MILKA,Alfajor Oreo Triple 56 Gr Milka,11849101005,$1.900,N/A,N/A
2025-09-19 11:31:28,Coto,PANTENE,Acondicionador PANTENE Restauración Pomada 170 ML,7500435106382,N/A,N/A,N/A
2025-09-19 11:31:29,Coto,PANTENE,Crema Para Peinar PANTENE Restauración   Botella 300 Ml,7506309837246,N/A,N/A,N/A
2025-09-19 11:31:31,Coto,PANTENE,Tratamiento Capilar PANTENE Restauración   Ampolla 15 Ml,7506195196694,N/A,N/A,N/A
2025-09-19 11:31:33,Coto,PANTENE,Acondicionador Cabellos Frágiles Pantene 250ml,7500435247955,N/A,N/A,N/A
2025-09-19 11:31:34,Coto,PANTENE,Acondicionador Cabellos Frágiles Pantene 510ml,7500435248044,N/A,N/A,N/A
2025-09-19 11:31:35,Coto,PANTENE,Acondicionador Equilibrio Raíz Y Puntas PANTENE 200ml,7500435230001,N/A,N/A,N/A
2025-09-19 11:31:37,Coto,PANTENE,Acondicionador Hidrata Y Fortalece Pantene 200ml,7500435230070,N/A,N/A,N/A
2025-09-19 11:31:38,Coto,PANTENE,Acondicionador Hidrata Y Fortalece PANTENE 400ml,7500435230117,N/A,N/A,N/A
2025-09-19 11:31:46,Coto,PANTENE,Acondicionador Keratina Pantene 510ml,7500435241045,N/A,N/A,N/A
2025-09-19 11:31:48,Coto,PANTENE,Acondicionador PANTENE Keratina 200 Ml,7500435241090,N/A,N/A,N/A
2025-09-19 11:31:49,Coto,PANTENE,Acondicionador PANTENE Nutrición 170 Ml,7500435243698,N/A,N/A,N/A
2025-09-19 11:31:50,Coto,PANTENE,Acondicionador PANTENE Pro-V Miracles  Detox Limpia - Purifica 200 Ml,7500435229852,N/A,N/A,N/A
2025-09-19 11:31:52,Coto,PANTENE,Acondicionador Pro Colágeno PANTENE 200 Ml,7500435138222,N/A,N/A,N/A
2025-09-19 11:31:53,Coto,PANTENE,Acondicionador Pro Colágeno Pantene 250ml,7500435191586,N/A,N/A,N/A
2025-09-19 11:31:55,Coto,PANTENE,Acondicionador Pro-V Colágeno Pantene 510ml,7500435191494,N/A,N/A,N/A
2025-09-19 11:31:56,Coto,PANTENE,Acondicionador Restauración PANTENE 400 Ml,7500435211857,N/A,N/A,N/A
2025-09-19 11:31:57,Coto,PANTENE,PANTENE Crema Para Peinar Colágeno Nutre & Revitaliza 300 Ml,7500435191548,N/A,N/A,N/A
2025-09-19 11:31:58,Coto,PANTENE,PANTENE Pro-V Miracles Liso Infinito Suave Y Brillante Acondicionador Hidratante 200 Ml,7500435235372,N/A,N/A,N/A
2025-09-19 11:32:00,Coto,PANTENE,PANTENE Pro-V Miracles Liso Infinito Suave Y Brillante Acondicionador Hidratante 400 Ml,7500435235365,N/A,N/A,N/A
2025-09-19 11:32:01,Coto,PANTENE,PANTENE Pro-V Miracles Revitalización Repara & Hidrata Acondicionador Hidratante 200 Ml,7500435235433,N/A,N/A,N/A
2025-09-19 11:32:09,Coto,PANTENE,PANTENE Pro-V Miracles Volumen Suavidad & Fuerza Acondicionador Hidratante 200 Ml,7500435235341,N/A,N/A,N/A
2025-09-19 11:32:10,Coto,PANTENE,PANTENE Pro-V Miracles Volumen Suavidad & Fuerza Acondicionador Hidratante 400 Ml,7500435235334,N/A,N/A,N/A
2025-09-19 11:32:16,Coto,PANTENE,Sellador De Puntas Abiertas PANTENE Colágeno Nutre Y Revitaliza 90ml,7500435191524,N/A,N/A,N/A
